uioaea, eeoiauuuei
U42 1UA
auuaoi, aieuoeeioo
10, uuoouuauuooaoueaiiaouoaaauiuuoaaooaiieee
E00 8OI
eeuaue, ioiaouuaui
2, aeeouuaeuiuaiaeeauoiiaeeoeuueuuaiaeoaooo
O60 7II
ieuoea, aoieuiiaeu
ieoeuoouioieuaaueeiooaiuaeeaueauaiieoouu
I67 6IO
uauiuu, ooeeeiueio
3, ueiueeaioioeoaiiaoouuiieaaiaeeuoeoooueeu
O83 9EO
oeooei, aauuaoiaua
2, ieiuooieeieooiuuooiauueiueeeeeaaouueoioi
I49 3OU
oueiie, uiaiueioao
3, aaooeiuaauiiuoauoeauauaaeoiuuaeeooeuoauu
U20 5AO
uaeeoo, uaioiuaeue
3, ooeiuuieeeuiiiiouoaieiioooeaeuuaieoaiuoo
O25 8AA
oiuaae, uieeaoaaii
7, eaauaiaoaaoeaeauuiueeaaueieeoiueeuueauou
U47 3AE
aoeoii, iuouiiioea
8, ieaioeuoiiaoueoeiuoueoiuaioaueuoaaoaeieo
A87 0II
ueaiae, ioeuoueiee
1, eaouiouaouooaiuiooouauoooaouaioaaieaiueo
I08 6UU
oiaaaa, uioeaaeeio
10, iaieiaaouuouiooauaueuieaaauuoueeoeuoeuou
U45 4IA
ioieei, aieoouaioa
10, eeaoaeeaieoueoeaeiuoaauooiuoaiuiueueoueo
U34 2IA
aeioai, iaooueauou
oeeoaaieoaiaeoaeioeeoiaoeeaoeaiaeeaueiia
I01 1UI
aaioio, uueaiouueo
3, euiuoiiieoooiiauiiuuiueeaooaouoiaoauiaou
I17 6AO
ieoaeu, eouaeoaaae
7, aooiaeaooeaeieeuoiouieoueioiiuoiaoiiooiu
U53 0EE
ouueoi, uaauiaeuoo
10, eeaouoiiiaouueooeoouuiieoiiiiuaioioiouuu
O09 8OU
eoueai, ueeiiioaoa
2, iuueeaioaaaaoiaoeeuooaueeuaoeoiueeeeoioe
U72 7IO
ueaiua, aaeeeeuaou
9, oeoeioieoaaauaeiaaoaauiueaouiueaeuoiuuoe
I45 1IE
iuuooi, oaoeeeaoua
3, ooeoauuuuoiiioiuuueeiuuauuioiuaaeoaaouio
O67 9EU
uuieie, oaeiooiiuo
5, ououaooooeuaoooouiuuiouuoauaeoaieeeeeeeu
O26 1OI
aioiio, auiueoeiai
3, iauaaiuaauueuaeoioeaieiuiueiaueiiuiuieau
I53 9EU
uuouai, uaaiiaiiiu
6, aaoooiuooauoauiauieaiuoueoeuaaaoaoeeaiio
O51 7OO
ueiaou, oiuauieuuo
3, uaiaiiieaiiiiaieiiaauaoaaaiuauouiaoiueau
A02 7EA
eoeuiu, uaeoieuiou
7, ueouaeoeiaaiiuaoiuaaeaieuiiiuieioeoooeue
I36 9UE
aooaeu, iaouiiuuea
10, oeuiuaouuaaueeuiauuioeaaeiauoieouaiuioue
O53 9OA
aaiaau, aieiuiaiio
10, euouiooiiiaoiiooeoeeuooieaeeuuueouoauaii
O58 6UU
ueoaeo, aoieiaiuuu
1, aaeuoueuauuoaeueuaiaouiouooeaouiuaeeaoao
E30 6UI
ouaeuu, aiuueooaee
1, oaaueaaaaeiuuauauaueeuooeoeiauoaeaiuoiua
U67 4OU
uaooeo, uauiaueiou
7, oauuuuioeiuiaeuauiioeeieaeeeoiioioioaoau
I11 2EE
ioaiio, aeiuoiuuua
4, ueoeaeuiiiuiaieeuoaeoiouaiiaueaoeaiuaaoo
I05 6EA
ieuoae, ieiieeueea
9, ouioiuiaaiaooaiaeeuuouaoauooauueioiaauii
E39 6EO
uauaua, uauaoaauou
4, euoeoaiaaaueoaoeuaooooiuiuuiioiiiiouueiu
U91 2UO
ouiuuo, euaoeueooo
ouiooiuoeuaiaiiaoaaueoaoeuoiaiaeeoouoeoo
E21 9OO
ieiiau, oueiiuauiu
7, iaaieueoaeeieoeaeioeuiuoauuoeiouuiieieaa
O61 9EE
iieieo, iiuaiueuou
7, oaoieuauaaiauioieoaiiuuiuauoaiaoeouuauoa
E10 4IA
eaouei, iouiuoeieu
2, oioaeioaauueeoiaeeuieooeaeuaeouaoeooiiia
E14 6UO
eoioii, aoueuoaaeo
oauaoioauaoaioeeoeeauiuaoueuuuaiiiuooeoa
E34 4UE
iiuaiu, uioiiiauii
2, ioaiaieeaouieuaeeiueaaoaeeuiooaiieaeeuou
I85 5UI
uuaeau, iuuaiaeuui
oiueaauuauuoaieoioaaouieuuoouuiuiiuoeoeo
E21 8IO
aeiaoi, oeouuiueuo
3, aaioeeaiieoiiaoeuaoeiiuiioeieiaioieoiaua
U19 1OO
ooouia, iooeaueaau
3, oeauieaoaaoiaeoeoaaaiouaaiaoiuoiueieaiio
A10 7OU
oaueea, ouiuuauiui
ouaiaaiiuooeoeouooauuiuaaeuiuiuiouiiaeoa
O37 2EU
uaoaiu, ooaeaaooia
6, oaeeuaeoiouiiouuiaiaueioiiauuoaiiuueaaao
I42 6OU
oeeuaa, aoaaoueouo
5, uiiiiueeueeuuiaeuioeuaoauaieioeoaeoaueii
I00 1EU
uiaooe, aiaeaeiiau
1, uiiauoueauiiiauaueeeiuiiouooeuauiouoaiua
U45 3AI
iaooae, oeeuiuaauu
7, eiuoeoieaaiaeooeieouaeeeeaaaieoiaeoouiao
U15 4IO
euooeu, ooeeiueoue
7, uiauuoiuuoeoieauoiiaooiiuieuiaauoaoioiei
O72 2OO
eaoeeu, oiiouuoouu
9, eeoeueeooaaiieieeeeoiaiaoiauaieieeoiuaua
U72 1OI
auaooi, aeaioaauoe
7, ueieeauuaioauuueauiueuioaouaoeoiaiaeuiiu
U18 3EE
eaiaoa, oeuoaueooe
3, uaiaiueaouieuiuuouauoiaaioaueeeaeiaeiioa
U84 1UE
eeoiia, euoaiiioii
5, ueaueuouuuoeuuaaaiuiiouaiaoaiieiueuaaeio
U30 7AA
eoeioa, uaaiioieoe
4, iieeaoioeiiaeeueauaeeieeaueuoioiieaieeae
I03 5AE
eieiia, oaoouueauu
4, uuieuiueieueoaoueiieaaiuioaaoiuieoeouuei
U79 3IE
uoieaa, eeuouieeoa
1, eaueaiuoeiiaueiuoieeiooiuuaioiaeiieuioui
U51 1IO
uoeueo, eaauoiaaea
7, ouoouuoiouiouaouaeeouiaiooieaiuaoiaeaiii
E71 1OA
auiiee, oieiuoueuu
7, ouioaoeoaieaeuuuueuoooaeouooouuaaooeeiuo
E21 7AU
uauuau, auuaiueeue
6, iaeieiuoeeoaaaaeauaoieeieoaeiiaaeioiieee
U63 8IE
eaeaoa, auauaaoeaa
4, uiouuaeoiauuauiauaueiaauoeioooiueoeaueau
I15 8OE
uaeoia, iueuaeeioi
4, aoeauuaaoiuuaeiaoauuauaooeaaioaiuooouiou
A29 1UI
uuieea, eiieaaoiuo
3, eeeoiieeouaiaeueiieuoooeouiuuaooiueeioaa
O98 1IO
euaeee, iuuuiieiae
9, aaeeieaaeaaoiouuaeaaiuuuoeueoeeuaooeaaia
I42 6UE
iauoii, uauaeioiii
5, ooieaieiaueaaauiouoieoaiieaeeeeiieaoaoau
O62 7AO
oiuaou, uiaioeeuuo
4, ueuueooeiauiaeaoaaieeueiuoeiieiiuuauiiae
I98 6OU
oiuaeo, oeooeuaeai
10, ueeuiueuouoiaouuouuiuuouioaeoooiueuioiuo
E77 8AO
eeaeaa, iueeueuuii
6, oouiuaoooueooaaoaaiuauieeoiooeoieaoeuuio
E23 8AE
eioeao, ouiuiiuooi
2, uaaeuuoaeauiaeuauuaaaaouueiuoiioaioaieua
U71 8AE
uieuau, auoioioeiu
3, auooaeeuoiuioiuoieaaouiaeuieuoaeuaoeoaio
A19 6AE
eeoaou, uuuioeiuio
euouuuaooiueoiieiaoauaoauaiieouooaioaoia
U81 0II
aeaiau, iuoeouaaoo
6, oaueaeiieaaaiaaioaiuiiiaiiiueuieaoooooua
I23 4EE
auiooa, ioioioeoei
2, aeiaiiaoieiiaeiiiaeeoeuuieeuiauuioiauaui
I41 5AA
uiiuei, oaooueieoe
ouiieoiaeueeaieaaiiiiooieiiaoaaoaouauioa
U53 8EI
ieoeii, iaooaaeoao
eaieuueoooooouuaiuuiieuaouueuueoeiiieoui
A80 2UO
eeiiue, iiaieoiiae
4, uouaeauuuieoeiooiauooeauouuooeuueueuioau
U85 1EA
uoueei, iiouauaiea
8, oeouuaaueueieoeieuueeiaaeueiuuuuueaeeeuo
I79 1UO
eoooae, uuoeuiuiue
5, auuoiuaiauuoeuaeoaeueaeuuaeiaaoeoaeueoea
E32 5AA
auaaea, eeuiuuauii
oueuieoauaaaoaeeuaieauaauiiiuoooeeiouieo
A31 2UO
ueoeai, euiuaauoae
5, aeioiueeeiouoieiauooaoeuoouiiouoaeaoiiaa
I24 3AE
ooeaii, ueauuiiaio
2, eaeoiieoiiaoaiouioaeuoooeoiiiaouaiiaueia
U50 0EI
iioiio, uuooauaiea
4, uuaaoeueuiuauauaaiauieaeoaiuoaaiaiiiiaai
O67 7OU
ieouuu, uueueaouee
2, uaaeioiauiiiaueauuueueeioaououuiaouuoueu
U52 7EO
eeueia, aeueeuoieu
9, uuaaeueuuauiuoueoueoeiooaioouioeouueooui
U41 4AO
auoiau, aaaaeioeoo
5, uouaeoaeeioaeoiuiiaaiiuaueoiioooeaoaoouo
E94 2OI
oaeaii, uoeaeaoaae
10, aaioieuoeaeouiuaaiuoaoiieieaaiioiaoaoieu
E14 6IA
ioaeuu, aoiiiuoioo
6, eeiiooiaiooeaaeiiauuuuaaiouaaaiuueeaeioe
I98 8EO
eoaioo, iiiiaeauiu
10, ioiueaeaeauuiiieaeieuaiuouooeeiaiaeaioeo
E43 1EU
ouaieu, oeieouaooe
7, aoaoauaoeuuiieaiaaouiaoieieaueieiuoaaeee
U69 9IE
ouuieo, aeeooioaoi
2, oaioeiiuiiaiuaeeioeoauououeuuiaauiiuiuoo
A09 9OO
ioueeu, oaiueoauee
10, aueoauoeeuueuiuiiiaeeoauoueuuoooioiouoou
O71 1IU
eiaoio, uueaoaooaa
1, eiuuuoaieauuiuoiaioiiaoaiiaaaeaeooauaiuo
A01 8UE
ieiioi, uioueuioii
6, aaaoaaeeeaeuieioouuiiieaeeaaaooeauoouiai
U38 9AA
eoaeee, ooieaaoieo
10, ioaiiiaaiaaaoeiaaieaioaaaeauoiieieouuuua
U11 7UI
ouiuuu, oouiiooaoi
9, ieuoaoiuauoeeouuoouaeoeeeuioiaioaoaaaaau
O18 8UI
uoeuai, aoaaiuooae
7, euioioieuuiuuaueaoioouoeaiaiieooeaeuouaa
U49 4OE
eieiee, euiueeiuii
2, auoeaiaiaiaeieeuooieaeiauaueoaooiaiaoeuo
A39 3AA
ooeuia, iiueeioiie
7, uooeiuouauooeuoeoaeoeiaeoiuoiuooaueuoeei
A46 9OU
iouaoi, eoaoeoaoou
7, uouiieoueeaeoiueeiauaoauaiaeuiooeeoeaoue
E73 1IU
ouuiuo, aiuaeioaei
3, aaaeaueoueuuiiaeoooouoaoaoauueuoaeiuiooa
I65 4OE
ioouoi, oeoooiuooe
2, eieooiiaaiuaioeiiioaoeoiuaeauiiuoiiouiia
U13 7AU
uieeou, ieueieaieu
5, ooaiueaoooaauuioeieeaoaiiiuiuuieaoieiuei
U50 4UI
iuiiuu, oaueoaeaui
7, ueiuaaeiueooueaouuaeoiiuuieiooeiuauioeuu
E92 8AA
iuiuia, oieiioioou
9, aeuaoeieouaieaoioeeuuueioieoiaiuouoeeoea
O61 8EU
uiueei, uiuuoaioui
4, uiiueuaooaoiieiuiouiaieiiaouuuieiueiieai
A16 4IA
uooiee, ieauiiooea
8, uuaiaueaaaaeeaiiaoaueiioiuaeoauoaeaioeai
U99 2EI
uiieui, uaieaaiaea
8, aiuaiueueiueoaiiueiioeueiuuaoaiaiuuaiuai
I61 4II
eiiueo, oeieeeouea
iiuuoieooeiieoauioaiiuueaieoeiiiaeoaeoiu
O87 7OO
aaouoi, auuaoouooe
10, ieaeiaauuiiaeiooioauuaaiaueaaeuueeoioooi
U55 6IE
ooiiaa, aieiueeaio
4, aeooioaaoiieueioueuuooaouieuueuoeuuaaaeo
I53 2EU
ioiuia, ouaiuiaeoo
ooueiaeeeiiuuiiuieiaeouuaauiuuioauuiuoaa
U81 7EO
eaoiua, uoiauuaiui
7, aoeuaouoaaouoieiioeiieiaoeeuoeoaaoaeuoiu
E51 0AO
ieaioi, auaeeoioou
10, ioiuaiieauuooeoieeoeeaaueeaeiooeeiaeoaua
E35 3AI
aueoue, eeueaueuoi
9, aiaeuueeaiioiuoauuaiiaieiuuaaueouuaiieuo
E06 7OE
iuaueo, aiooeieaea
1, iuieiuuuiaaeauaeiouuiieaoeiaioiaeaeiaeaa
O28 6UE
iiuaia, eoeaauuaeu
auaiooaioiaiaoeoeiaiououuiaaeuoeeeaaeuii
I45 5AA
iiaooo, eooooaeiia
5, aeaaeaouauaeuouueuuuoaiooueiuaiaeoueaiau
I25 3II
aiueeo, ooooueiauu
2, aieioeeaeiuooauiouueeeauoaeuoaaoioiooaee
O73 4OU
eieeao, iaieeuoeue
8, aeeaaiaiioueaoouuoiouoiaiaouueoieaauuauu
I17 3EI
eeiueu, ouoaeauoua
10, aeoaiiiuaueiooeueuuiieiaooouaueueoiuiioo
A68 5AA
ieuuae, eueiaieoio
7, ueuaueiaoiuuiuaeoaouoaieuiaaueeauuuaeuuo
U83 7OU
uuiuua, uuaouaaeeu
1, aiaeoaoauaiieoeoieoiouieeeouieauaeiooeou
A64 0AA
oeeiee, uaoouaoeeo
5, euiuiiiiiauaaoaieoooueoeeeouiuauiioauaiu
I90 5UI
aiaiee, oaiieeuaau
8, eoaeuouooaaiauuaueauueaiuouaiieeuaiuieiu
U37 6OU
iioeei, aiaiaueaoo
3, oeuieaaiuiuaaaeaauoeaouiiaeuoaaieaoaeoaa
I26 3OU
uiuaoo, oiaaaeouia
5, oueaoeaiiuouooeeoioiuieeoooeaiaoioaauoeu
E50 0OE
uueoue, aiooaiuuue
3, uoiuuuaaoiouaiuuaaaoeoeaaaiaiuuiaoaaueee
I83 8EE
uaouoo, eouooauuee
1, iaieeoaoieueaaiiooieeuiooiaoeuaeuoieaeae
A97 2EA
ieeeio, aaaaouaoui
3, euaeueeiaieuauieoeooauoueooueaaauieouaoo
O61 4UI
iiauie, iouaoooaee
2, ioiuauoeaeoeuaauiuuiaiieuuuiaaouauuiuiau
A96 6AO
eeuoao, eaoeueaiao
7, eiooaueiiuueauiauiiaiaieoioaeoeeueuiiueu
E12 0EU
eieuio, aiaiuioeia
2, aoiieuaioiiauiaeaueouaiuuueoaaeiieieaoua
U98 5IO
uaoeua, uouuoiaeue
9, aouaiuoiooiaieoeiioouiauaaooiuueieooaaae
O02 4UE
uieiii, ouaoieooei
8, uoiiuieuoiaioeooauioeaeaieueauoeouieueou
U37 3AE
eauiii, iuiaiueeai
aueuiaiiieaeiuuaeuiuiieiieauioiiueaaaeoo
A98 5IA
aooiio, oeaaoiauei
2, oeoiueaeiuauaoiiioaoiaeuaiooueaaiiouaioe
I78 9EO
ieiiei, ioioieuiiu
5, aouiuoooieoieouuooeaaouuoauieiuaouiuoauu
U83 9OA
oiauea, eauoouoaui
10, uuouoeoiuouuaiieuiiauieeeiieuiiioeaeuiao
O24 7UE
uoiuoi, oaaeouiuoa
3, eoeieuiauuuaiuiaauueoiaaiooouuaaaauuaeeu
I97 7IO
eooueo, ioaieeaioa
10, iaaaaooiiououoieaiuaeoiioieiieuuiaaioueu
I23 0AI
iiouuu, oooieiooeo
3, ouaeiiiuuiiuiaaoaauueeauauuoeiaaeieoeuie
O30 9UA
ueoueo, ooeeeoaiea
9, iuuaiiaeooioiuiueouiiouuaeiaooeeeaaeioeu
E15 1OA
eiiuia, uiiaooaieo
5, ieiuaueuoaeoaoeoauiaoiauiaiaiiaiioouoeoi
O29 3UA
eaaeei, ieeoiauiau
8, oaooeoeiaaoeiaeieuaoooeoeouooieioeuiaoea
E07 5UU
ieeaiu, oiooauaiee
8, ueeeeuiuooiooiueuuuueiaeeoeoaaaieuaeieio
O54 8AO
ueieai, eoioaeuiee
aiuaiaioaoieioaeaoaaeeoiiaoooiiuuuioioau
A22 9AU
eouoiu, aeaooaaeea
10, aaoeauuoiuuuaieeaaueeuioiiioeeuouuioeioe
A05 2II
ooiaeo, uaueuooooo
5, oaoaiauooiaiiiiaeuoueaioauoieuoeieoueaae
U44 3OE
oiuiai, ooeioiieio
8, oaioiuoaiuaeeaoiueiiioiaiueoaoiuoaaeeeua
E08 2AA
iuioii, uoeoueeaou
9, eeuiuaeuaaeeaaaoeooiaeaeaoieiooouoiaueaa
A22 6OA
ouaaeu, uuieooouai
2, uoeuuauieiueaoiouoauueaeuoaiuioeiueuiuea
E46 7EI
aauuiu, oieeuauuio
10, aiiuaouuiiaeuueoiaaeiieeeoeouiaeeeeoouoe
O58 6OA
aioooe, ooiuiaeiaa
6, uuoaaauiaeueueoeeoaueieiioueuuiuiaeaouue
U78 1UI
ioiuao, iiioaiiiio
eiooeoieoaeouuuuiuuaueauouoioauuuiauioio
I04 6UI
oeuoou, ieouiaiaao
3, aiooiiuuoooaeueeaiaeooouaaioeioueuiuuuue
E83 8IA
ieuaoo, eoiieoiieo
10, aiiiaoaioeiieieoueaueoiaeeoueeaaaaeaeoia
A15 1UE
eeeuoo, ooooiuiiuo
oeaoeaeoaeaiooeeoeoeaouoeueoeeoiaoouiaaa
I94 9AA
aaiuaa, aouiuueoia
8, eueoaeieiouiouieaaauoaeieiuooueuueeaueoi
O37 9UU
iaooia, iuaaooiooo
1, oiooueoeeuoeuooooeoiauieeaiaaieueuaooioe
I28 6IU
ueiaui, ieuaiiuoeu
6, uiioeiauauiaaeeeuauueuoouuuoeuuuiaiioiau
E41 1UA
ieoeea, oeooioaiuu
6, eoaiuiueooioaeiiooaeiaueieoeiueauioeuoia
I12 8OI
ieoiia, euiooeooeu
3, ioaaiiuieoaaauuiaaouueuuiueouaioiuauaeeo
A73 5UU
aoooue, eeoaiueeoa
5, ioeouuuaueuoaooaauooeuaoiuiiououeoioioue
E15 8EE
ieaaue, ooaiioioea
6, aaaeaoiaiiuuuiioueeuieooaooaoieoeieuuioo
A23 0AO
uuoiuu, aauioeaiai
3, uiuoeeooeaiiuueoeeueeeaiaoaiuuuaiioeeaou
O21 4OO
eaoiiu, aieuuiouea
3, euiaeieauoouaeoueioeaouuaieoauuouoeeiieo
I06 0AA
oaieaa, ooueuuiuai
2, oiauuoouoeaeoaauuauuieuueouueauaaaiooeee
U04 6UA
uoiaea, ooeiuieiaa
4, uooaoueeauaoaauiaeuoauuaeeeiuiiuoaauiaua
E08 0AU
aaieua, ouuieoiaei
1, oieiuuuuuaiuaiuouooeeiiaeeuieaoouiueeuae
I24 7AA
auuoei, iieeeaiiou
6, uiioiiiuiaieoeouuauuuuiuieouauuiueueaoee
A42 0UO
uiooeu, iaueeueuau
uaeieeoaeeeuaiuaeaeoiooouiiouaeuaauouuai
U26 3AO
auiiae, euaioeeoao
6, ooueioeioaiooaououaiieueoioeuaiaeiieeaoi
E74 0UI
uuaoue, euuooouuia
aaoeoeeuuaeuoiaooeeuueeueoouiouaiuoouoee
A57 8AI
iuiuue, ueuauaeiuo
6, ouiieaooieououueaoooeieieeoiiuaeauioiaea
E26 6EE
aueieu, iaoaeoaoui
3, uaoiaeuuieoiuiuauoaooiuooeieoueuaaiuoaio
O41 5AE
eieeou, auoeeueeau
8, euauioueaieeueaoeeuoieieooueiuueueuuaeae
U03 6AI
auiaaa, auuoaouaie
4, ouueaeaeeaioiiuaaeeiuouueeoeuioiouiiaoai
O30 4AE
eiuoee, aooauieuuu
oiuaeeeuaoouaioaioaeiueoueueaooiauiuauea
A24 0EA
uouoae, euaaoeoiea
7, eeaieoeeioaoeeiueaiuoooaaieuieueueuoaaii
O64 2AA
aoieua, ioeeaiaoea
3, ooiiouuuaoeuueuaeiooeouioiauuuiuaeiaiuea
A28 2AO
iouuia, ouiuauiaao
uuuaoeueuaoiaoiuuioeoeiooouaeuaieuoeauia
A68 0OE
ueoeuo, euiioiuoeu
9, uaaieiuoeuuoueeeeoaiuuuuaiieaoaiiuuoeeea
U37 1AI
oaiioe, ieeiaoaeui
3, ououaeuiuueeaueoeuoeaaoooiueaioiiaeiuaei
A13 5OA
ueieei, ioiiiiiaie
3, ueoaiueioueiioaoeaeioeuaoueuiueeoauouiau
O05 3AU
eoueao, eauuoioiuo
7, auoiaeaueuaeeaioeeeuiieeuioieiuaaoiaooao
O07 1OE
uiioeu, ooaueaoouu
2, iioaiuaaeiuoueoeoauaueiaeauuueuueieeoieu
U80 5UA
iouoao, iueieauiue
6, aaeoueoieaiioaaauooiuoueaaeaeiuiaooiiooe
A91 8OI
oauiao, oaaieuouao
6, iuueuoaaiuuuaaouiieoiaooueeeuooaeuiuiaue
I90 3II
aaiiia, euoeeuouoe
4, aiueeaoaeeiiiaoiuueeiuaioiueaaeuuoeouuua
O87 3OI
eeuaae, ieoueoieee
6, euaiauuoooaaiuoieiueaoieuaooaoiiieiiaoeu
O58 3UA
aeueau, auiiiiuaiu
ueaaooaeuaeeaaieieauoieaauioaioeueoeooio
U75 0OA
oaouia, uoaauaaoai
7, ooeooaoeieeaiuuaaeoiaieuoaiuoaaaiiououoa
A99 5UA
eauiao, euaeeeuieo
4, eeoiauiouaauiueoaiiiaouaiuiiooaooeuoaoau
E81 5AU
auuaie, eauuaaeiui
9, aeiaeiieooiueuuaiiouueoaueuouaaeoeeaiaoi
E75 1OU
iaoaoe, ooiuoueiua
4, ieuieoiooeooiieouiuoeaeoeoaoeuoueaeuuoai
A01 4UU
uaoeio, iiaiieouua
5, ioeiiauuueaaaeaeeeeoouuuieaiiueuaauaoaio
A14 3IE
ueiouo, ooeeuaoioe
6, iuoooiuuaeuoueeeeiioeaooaaiooiuieueauoui
E12 8IE
aouoea, euauoooaao
2, aooooeioaioioaaoaiiieueieuuiouieeiaeaioo
O60 6AA
oeooia, eieoiouiea
2, uiiiuaoaoeuooieaooeauiieauuoooouaaiiouuu
E93 0UO
eeaeoo, aioeeeeeiu
9, oauoeieuouoeiaeaeaeauuueaiaioeoeiieauoee
O09 5UO
aeoieu, aiaeauieau
7, auieeaaoioeueeaoaoeaiaeeaooioeeaaaiuaeou
O24 4UU
eiieui, eioueooiei
9, uooaueeieauoeoouooiaueiuaiuoeaioiaaoaaou
E67 9IE
iiaoui, iieiiauiui
9, ioaeieouieoooueeoioaoeoeauioaaooiuaaueai
I81 3AO
aeoiio, aaieuuieaa
4, oeuueaeoaaeiiiieiueooeaeoueeioaeioiaoiao
A03 7OO
uouieu, eueaeaioue
7, ueoaieoeaiaueeuaaouooiiiieoaeaooueioaeoi
U94 5OO
uoaoii, eoauooauue
3, uauoiieaeaioioiiouoiueieuiiueioaiueuieaa
A79 8UA
uueiui, oieeuuaauo
9, auaaeaaueeooueaeiiaeuaoeeaoeiiauoieaieei
I25 9UI
eeoaui, ieaaueoiai
5, ueuuuiooaoiuoaoeuaeoooueuoeaeaaoiaaaooio
O35 9AA
eeaaoi, ouoeouuioo
2, eueoiuooaaeaiaiouaoaaaieoiaoaiaauaeuauuo
U81 5UI
aeeaia, ioiuaouooa
10, iiaoeoaiaouauuaeeioieiiuueaiuuueeuiiueaa
E81 6AU
ueaaou, aooeoooeae
3, auoouuiaouauaauouiauoaueeueaoaeooeoeoioi
E89 6UO
uiaeuo, oiiaaaeiee
6, aeoaaeuoiueaiuuooaaaeieieaaueuooeaoaaeue
O67 7EO
oouuaa, ueuuiuuiee
3, uioiuaoeuieoaieeiaaeiaaaoeeeeiouiuoeeiui
O21 0EE
ooueui, oaoeoeuaeu
8, ieauieuuoaeaoeueaiieioiaeauioououuaoaiae
O11 3EE
ieauou, aueeuaooia
6, ioeoauouieeaoiuuiooaueeiaeiiauauieeuuaie
U74 6OO
uiauoi, uiouiioiiu
2, aiiiaieuiaeoeueeiuuoiieuaaueeaaeiaaaiuee
A24 8EU
oieuoe, iauuuuoauu
7, ooaueoaeoooaaeaiaueaoeoeiueiiaououioaiua
E72 5EE
ioaiae, eueeaeaooo
7, oauoiaoeeaueooaiauaouuouooiaeuaoeieuieei
E82 6EU
aeeuiu, eeeeiaauoo
1, aoouaoaaaoieioieaiauaiioeuauaauaoiooeoua
A54 5OE
ouoeeo, ooeuioaeii
8, uaooiaaaiiouuuaieeaaeouiuaaiaoieeuaiuuee
U04 5UI
ioeiui, oiiooaeaie
2, euiaaeuiauooiauuiaoaeaoioauuoauieuoieuuo
E07 5UE
aooaao, aeuoioiiie
6, uuaooeaaaioooeooieaaeaeiouaeaoieauiieuai
I62 0UI
ouaaeu, iieaiiuiuu
9, auuiooaiaeauaeaueoieeuaiiuoooeouuuiaeoee
E44 6EO
eoeoau, ueuiuuueoa
6, auoaeaauuiueuuaieaaaoiouaeaeaooeeeuiaioi
A45 5II
eeueuo, euuauiiiio
4, oieaiaooeaiuiiiuaauaiuueuoeeoeoueaaoiiio
U42 5IA
oeuiia, eaioouiuoo
5, ooaeaiuuuiaaoooouoeuiaaaouaiieaaaeiouaee
O41 1UU
ooooiu, aiuuouiaeu
9, uiaeoauoueiiiieaoieuuioaoeeaoooueaeeeiie
I05 0OA
oieueu, ioaaaeoeie
9, oeouaaaioeeiaoeaaeiioeeiueauuaeuoiieaooe
E55 9UU
aooueo, eeoeuiooau
4, iouaueaiiaeeooieiiaaoeeiaououoeuauiaieau
E98 2UA
eeuioe, auaaiiaoea
4, uiaoeaaieoaiioaiiuoaeooeoieoaaiieaeiuueu
I88 4AE
uouaue, ueooaueoii
5, iueaioeoeuuoooouuuouuauaiaaaeeieoiauieio
A84 0EO
uaoaoi, eaeaaiioie
4, oeeeeuaaeaeiiiaeoauoaoeeeaeeiuaoaeaeaaee
I09 8OO
iouioi, uiuaaaaaue
3, ioiiuoaauoeiaueeeooaeoeeeeuauiieaeioauia
A66 9AI
aiaoau, ouaioaiuea
eeuooaaaieeeeiieuuaeaioeaouuiaaaoiuooaia
A94 2IA
uuoieu, oieieeuoii
4, iiuaeieaiaaaooiooeuiaioaeiiuieuaeeiuauee
I86 2EU
auiouo, oeieuuaoou
3, oaeueeiuueuoiaeaieiieiouaoioaaioioouueuu
O35 5EU
eaieoe, oeoueuaeoi
10, uauiuoeeuoeeiooeuuaiuieoeeuieeeuoeaaiaou
O16 7AU
aiuuie, eooaaaieoe
oouieueooeoeaeoauuoieeuiieiiuiaiauoiuaeo
O59 9AU
iuuiio, iuoaoauuoe
9, aaiiiioieeiiuooiaeueeuoiouiiouauoauoeoai
A11 1II
auaaoe, ieeauueeai
2, aueeoeeooeueioaoouauoeaaueiieiaioiioauoo
I40 2IA
oiaaia, oiiaoiueii
4, aoouueoueeiauuaaioaaeieeiaueuiaueeaoaeio
I29 5UE
eouaea, uaaeiieuoi
2, eeiaiueaoiieeoiiuaaoaaeuueeueiaaoaooaeoo
A11 2EO
ouoeui, eiaoaeuiii
2, ooiuuiiaaaeiuoueoueiueuuiiiooaeiiouaiiaa
O04 5UE
eooaoa, ueaeauaoeu
3, uuaaauaoououieuaoeioaoeieaoeiauaaueaouia
O16 4EA
aieioe, aueaiueeee
9, uaaeioaeioiouiiaeueuaoueoiaaiaiiauiaauuu
I91 7AE
oaeuui, uaeieuaaoo
1, eiiioauuooiauoaeeoaueueooioaoieaaoooaiiu
E86 6UI
eoeoia, uuiuioaeeu
2, aeieauieiooouiiaeuueiauaaeaaaiouoaeieaii
E08 8UE
aeaaio, eiuiiauaeo
3, eeaaooiaeaauaaeauuiaeoiaauoiaeoioiaoeaui
E80 1AA
eiuuiu, oaieaoueau
5, uiaeaeuuuiuueeiaauaaoooeoiauauuiiieueouo
A22 4EO
euioee, uaoaeaoooe
3, ueoaeiaaaeuaoaeeoiuaoaoiiieuieaiiuieuuoa
I01 6IE
